Nama,Rating,Tanggal,Ulasan
Zakki H.,10,08/31/2021,Pelayanan nya is the best. Puas pokoknya.
Anggun P. H.,10,08/30/2021,"Saya sangat menikmati staycation ini, pelayanan bagus dan staffpun ramah-ramah, untuk fasilitas tidak perlu diragukan lagi."
Edy S. R.,10,08/11/2021,Sangat senang menginap di Aston Hotel and Residence. Staff sangat helpful. Menu Sarapan pagi bervariasi dan rasanya juga enak. Kolam renangnya bersih. Diizinkan early check in dan late check out tanpa biaya tambahan. Pasti akan kembali menginap di sini jika nanti akan Staycation bersama keluarga.
Erni S.,10,08/11/2021,Sangat senang menginap di Aston Hotel and Residence. Staff sangat helpful. Menu Sarapan pagi bervariasi dan rasanya juga enak. Kolam renangnya bersih. Diizinkan early check in dan late check out tanpa biaya tambahan. Serta yang paling menyenangkan adalah birthday surprise dari Manajemen dan Staff Aston. Pasti akan kembali menginap di sini jika nanti akan Staycation bersama keluarga.
Rendhy P. R.,10,Profil ini privat.,"Pelayanan nya sangat ramah, dan restoran nya juga menyediakan berbagai menu yang lezat"
Rosmaida S.,10,08/02/2021,
Anggun P. H.,10,08/30/2021,"Saya sangat menikmati staycation ini, pelayanan bagus dan staffpun ramah-ramah, untuk fasilitas tidak perlu diragukan lagi."
Edy S. R.,10,08/11/2021,Sangat senang menginap di Aston Hotel and Residence. Staff sangat helpful. Menu Sarapan pagi bervariasi dan rasanya juga enak. Kolam renangnya bersih. Diizinkan early check in dan late check out tanpa biaya tambahan. Pasti akan kembali menginap di sini jika nanti akan Staycation bersama keluarga.
Erni S.,10,08/11/2021,Sangat senang menginap di Aston Hotel and Residence. Staff sangat helpful. Menu Sarapan pagi bervariasi dan rasanya juga enak. Kolam renangnya bersih. Diizinkan early check in dan late check out tanpa biaya tambahan. Serta yang paling menyenangkan adalah birthday surprise dari Manajemen dan Staff Aston. Pasti akan kembali menginap di sini jika nanti akan Staycation bersama keluarga.
Rendhy P. R.,10,Profil ini privat.,"Pelayanan nya sangat ramah, dan restoran nya juga menyediakan berbagai menu yang lezat"
Rosmaida S.,10,08/02/2021,
Helen S. P.,10,07/15/2021,Menginap di sini selalu menyenangkan dan sarapan yang enak.
RIRI F.,10,07/05/2021,"Pelayanan maksimal, karyawan ramah, makanan mantap."
Helen S. P.,10,07/15/2021,Menginap di sini selalu menyenangkan dan sarapan yang enak.
RIRI F.,10,07/05/2021,"Pelayanan maksimal, karyawan ramah, makanan mantap."
Ayu P. S.,10,05/17/2021,Pelayanan yang sangat ramah dan memuaskan.
Ayu P. S.,10,05/17/2021,Pelayanan yang sangat ramah dan memuaskan.
Feni N.,10,03/01/2021,Sangat memuaskan kamar bersih sarapan banyak pilihan dan enak2.. kolam berenang bersih dan besar. Pokoknya menginap di aston batam menyenangkan dan akan selalu jadi hotel fav kita ??
Feni N.,10,03/01/2021,Sangat memuaskan kamar bersih sarapan banyak pilihan dan enak2.. kolam berenang bersih dan besar. Pokoknya menginap di aston batam menyenangkan dan akan selalu jadi hotel fav kita ??
Sapariyanto,10,01/13/2021,
YUDI Z. R.,10,01/09/2021,Sangat direkomendasikan karena sarapan dan fasilitasnya enak.
Yustry M. S.,10,01/07/2021,Semuanya oke. Sarapan oke?
Safitri W.,10,01/07/2021,"Cukup puas, seneng banget, karena lokasinya di tengah kota jadi bisa liat kembang api taon baru dari balkon kamar yg berada di lt 21 Kamarnya juga luas dilengkapi fasilitas apartmentnya."
Sapariyanto,10,01/13/2021,
YUDI Z. R.,10,01/09/2021,Sangat direkomendasikan karena sarapan dan fasilitasnya enak.
Yustry M. S.,10,01/07/2021,Semuanya oke. Sarapan oke?
Safitri W.,10,01/07/2021,"Cukup puas, seneng banget, karena lokasinya di tengah kota jadi bisa liat kembang api taon baru dari balkon kamar yg berada di lt 21 Kamarnya juga luas dilengkapi fasilitas apartmentnya."
Siti M.,10,01/05/2021,"Pelayanan bagus, ramah-ramah, hotelnya bersih, makanannya enak, sangat menerapkan prokes yang bagus dalam masa pandemi covid19-ini. super nyaman."
Siti M.,10,01/05/2021,"Pelayanan bagus, ramah-ramah, hotelnya bersih, makanannya enak, sangat menerapkan prokes yang bagus dalam masa pandemi covid19-ini. super nyaman."
Afrizal A.,10,01/01/2021,"Bersih, nyaman, stafnya ramah, rekomend pokoknya.."
Erdi S. P.,10,12/28/2020,"Bagus sekali hotelnya, bersih, rapi, pelayanan yang baik, pokoknya keren banget."
Afrizal A.,10,01/01/2021,"Bersih, nyaman, stafnya ramah, rekomend pokoknya.."
Erdi S. P.,10,12/28/2020,"Bagus sekali hotelnya, bersih, rapi, pelayanan yang baik, pokoknya keren banget."
Irawan A. S.,10,12/18/2020,
ELI F.,10,12/13/2020,"Hotel yang sangat bersih dan sangat memperhatikan protokol kesehatan, terutama di saat sarapan. Karyawan hotelnya semua ramah-ramah. Kami jadi nyaman menginap disini."
FERI A.,10,12/04/2020,"Hotel menerapkan protokol kesehatan yang sangat baik, mulai dari masuk lobi, resepsionis, sarapan di restoran."
Irawan A. S.,10,12/18/2020,
ELI F.,10,12/13/2020,"Hotel yang sangat bersih dan sangat memperhatikan protokol kesehatan, terutama di saat sarapan. Karyawan hotelnya semua ramah-ramah. Kami jadi nyaman menginap disini."
FERI A.,10,12/04/2020,"Hotel menerapkan protokol kesehatan yang sangat baik, mulai dari masuk lobi, resepsionis, sarapan di restoran."
Victor P. A. F.,10,11/11/2020,"Good hospitality, excellent services, bahkan saat kondisi covid pun tetap tidak mengurangi kenyamanan tamu. Sangat puas dan worth it."
Victor P. A. F.,10,11/11/2020,"Good hospitality, excellent services, bahkan saat kondisi covid pun tetap tidak mengurangi kenyamanan tamu. Sangat puas dan worth it."
Felix C. S. M.,10,09/18/2020,
Felix C. S. M.,10,09/18/2020,
Revika S.,10,09/13/2020,
Veni F.,10,09/09/2020,
Mairisnawati,10,08/23/2020,"Check outnya nggak lama,bagus,bersih dan staffnya ramah2 nggak rugi nginap di sini sangat sempurna .thanks aston . next akan nginap di sini lagi."
Revika S.,10,09/13/2020,
Veni F.,10,09/09/2020,
Mairisnawati,10,08/23/2020,"Check outnya nggak lama,bagus,bersih dan staffnya ramah2 nggak rugi nginap di sini sangat sempurna .thanks aston . next akan nginap di sini lagi."
Safitri W.,10,08/18/2020,Menyenangkan banget bisa ngumpul keluarga di hari ultah mama saya tercinta dengan fasilitas ruangan apartment 3 badroom.
indra i.,10,08/13/2020,
Safitri W.,10,08/18/2020,Menyenangkan banget bisa ngumpul keluarga di hari ultah mama saya tercinta dengan fasilitas ruangan apartment 3 badroom.
indra i.,10,08/13/2020,
Supriyanto S.,10,07/26/2020,
Aaron B.,10,07/18/2020,"Sangat nyaman, dan bersih cocok untuk yang baru menikah and pendatang, recommend hotel?"
Supriyanto S.,10,07/26/2020,
Aaron B.,10,07/18/2020,"Sangat nyaman, dan bersih cocok untuk yang baru menikah and pendatang, recommend hotel?"
Mita E.,10,04/03/2020,Saya sangat menikmati tidur yang nyaman.
Khairunisa,10,11/23/2019,Kamar luas dan sarapan banyak pilihan dekat ke mal Nagoya Hill.
Mita E.,10,04/03/2020,Saya sangat menikmati tidur yang nyaman.
Khairunisa,10,11/23/2019,Kamar luas dan sarapan banyak pilihan dekat ke mal Nagoya Hill.
Sucipto L.,10,10/05/2019,"Apartemennya sangat luas, fasilitas lengkap, lokasi hotel di tengah kota gampang kemana-mana, sarapan lengkap dan enak, gedung baru, check-in dan check-out cepat. Sempat ada masalah dengan pengait pintu namun pihak housekeeping sangat cepat responsenya. Kekurangannya colokannya kebanyakan yang tersedia kepala 3 dan tidak ada atm di dalam hotel. Kalau mau ke atm harus ke pom bensin di sebelah hotel."
Teguh S.,10,10/02/2019,
Pernando S.,10,06/03/2019,"Menyenangkan, cocok untuk liburan keluarga. Makanan, fasilitas dan lokasi sangat strategis."
Sucipto L.,10,10/05/2019,"Apartemennya sangat luas, fasilitas lengkap, lokasi hotel di tengah kota gampang kemana-mana, sarapan lengkap dan enak, gedung baru, check-in dan check-out cepat. Sempat ada masalah dengan pengait pintu namun pihak housekeeping sangat cepat responsenya. Kekurangannya colokannya kebanyakan yang tersedia kepala 3 dan tidak ada atm di dalam hotel. Kalau mau ke atm harus ke pom bensin di sebelah hotel."
Teguh S.,10,10/02/2019,
Pernando S.,10,06/03/2019,"Menyenangkan, cocok untuk liburan keluarga. Makanan, fasilitas dan lokasi sangat strategis."
sabar h.,10,04/05/2019,"Tempatnya bersih, segar, sarapannya beragam, layanannya maksimal dan kamar yang luas sesuai dengan harapan."
BANGJO,10,03/13/2019,
Cynthia C.,10,02/04/2019,
sabar h.,10,04/05/2019,"Tempatnya bersih, segar, sarapannya beragam, layanannya maksimal dan kamar yang luas sesuai dengan harapan."
BANGJO,10,03/13/2019,
Cynthia C.,10,02/04/2019,
Reni S.,10,01/04/2019,"Kamar bagus, luas. Sesuai dengan gambar. Lokasi dekat kemana-mana. Kalau ke batam lagi pasti mau menginap di aston lagi. terima kasih ya Situs Traveloka. Pergi traveling jadi nyaman dan tidak susah."
Reni S.,10,01/04/2019,"Kamar bagus, luas. Sesuai dengan gambar. Lokasi dekat kemana-mana. Kalau ke batam lagi pasti mau menginap di aston lagi. terima kasih ya Situs Traveloka. Pergi traveling jadi nyaman dan tidak susah."
Melvi I. S. L.,10,11/30/2018,"Recommended banget, tidak menyesal deh pokoknya."
Syahadatta T.,10,11/23/2018,Hotelnya masih baru. nyaman buat keluarga. dekat access kota. recommended bangetlah.
Melvi I. S. L.,10,11/30/2018,"Recommended banget, tidak menyesal deh pokoknya."
Syahadatta T.,10,11/23/2018,Hotelnya masih baru. nyaman buat keluarga. dekat access kota. recommended bangetlah.
Mery P. S.,10,11/11/2018,"Keren, hotelnya baru, makanannya mantap, top markotop ?"
Mery P. S.,10,11/11/2018,"Keren, hotelnya baru, makanannya mantap, top markotop ?"
Williams R.,10,10/04/2018,"Mantap, saya sudah bolak balik kesini."
Girie M.,10,09/27/2018,
Williams R.,10,10/04/2018,"Mantap, saya sudah bolak balik kesini."
Girie M.,10,09/27/2018,
Andre V.,10,09/10/2018,
Lady E. F.,10,08/19/2018,"Kamarnya nyaman, bersih dan luas, makanannya bagus. Pelayanannya juga ramah dan responnya juga cepat, pokoknya oke deh."
Andre V.,10,09/10/2018,
Lady E. F.,10,08/19/2018,"Kamarnya nyaman, bersih dan luas, makanannya bagus. Pelayanannya juga ramah dan responnya juga cepat, pokoknya oke deh."
iwan,10,06/28/2018,"Bagus, kemana-mana dekat, kolam renang bagus kali, sarapan enak dan hotel mewah"
Nur F.,10,06/27/2018,"Nyaman, keren anak saya ultah di beri surprise. Makanannya enak, pelayanannya ramah. Recommended."
Ricky S. T.,10,06/23/2018,
eka n. s.,10,06/20/2018,"Hotel bersih, makanan enak. Cocok untuk liburan keluarga."
iwan,10,06/28/2018,"Bagus, kemana-mana dekat, kolam renang bagus kali, sarapan enak dan hotel mewah"
Nur F.,10,06/27/2018,"Nyaman, keren anak saya ultah di beri surprise. Makanannya enak, pelayanannya ramah. Recommended."
Ricky S. T.,10,06/23/2018,
eka n. s.,10,06/20/2018,"Hotel bersih, makanan enak. Cocok untuk liburan keluarga."
suzuki s.,10,06/12/2018,"Hotel yang nyaman banget untuk keluarga, bersih, letaknya strategis, pelayanan oke."
